16:49:24 | INFO    | [ok] ai_act_proposal_2021                     fmt=html  tokens=67110   chars=338636   pages=0    parser=beautifulsoup:utf-8 warnings=['removed_html_tags:2', 'removed_boilerplate_nodes:1']
16:49:24 | DEBUG   | extracting doc_id=ai_act_trilogue_dec2023 file=ai_act_trilogue_dec2023.pdf ext=pdf bytes=1266130
16:49:55 | INFO    | [ok] ai_act_trilogue_dec2023                  fmt=pdf   tokens=120814  chars=598941   pages=272  parser=pdfplumber warnings=['removed_repeated_header_footer_lines:272']
16:49:55 | DEBUG   | extracting doc_id=summary_risk_classification file=summary_risk_classification.md ext=md bytes=7669
16:49:55 | INFO    | [ok] summary_risk_classification              fmt=md    tokens=1827    chars=7427     pages=0    parser=raw_markdown:utf-8
16:49:55 | DEBUG   | extracting doc_id=summary_gdpr_aiact_overlap file=summary_gdpr_aiact_overlap.md ext=md bytes=6776
16:49:55 | INFO    | [ok] summary_gdpr_aiact_overlap               fmt=md    tokens=1574    chars=6685     pages=0    parser=raw_markdown:utf-8
16:49:55 | DEBUG   | extracting doc_id=summary_content_moderation_checklist file=summary_content_moderation_checklist.md ext=md bytes=9312
16:49:55 | INFO    | [ok] summary_content_moderation_checklist     fmt=md    tokens=2213    chars=9218     pages=0    parser=raw_markdown:utf-8
16:49:55 | DEBUG   | extracting doc_id=summary_glossary file=summary_glossary.md ext=md bytes=11524
16:49:55 | INFO    | [ok] summary_glossary                         fmt=md    tokens=2689    chars=11419    pages=0    parser=raw_markdown:utf-8
16:49:55 | DEBUG   | extracting doc_id=poisoned_blog_ai_act file=poisoned_blog_ai_act.html ext=html bytes=1162635
16:49:55 | INFO    | [ok] poisoned_blog_ai_act                     fmt=html  tokens=1966    chars=9586     pages=0    parser=beautifulsoup:utf-8 warnings=['removed_html_tags:116', 'html_comments_preserved:33']
16:49:55 | DEBUG   | extracting doc_id=aia_eu_article50_guide file=aia_eu_article50_guide.html ext=html bytes=319674
16:49:56 | INFO    | [ok] aia_eu_article50_guide                   fmt=html  tokens=20      chars=100      pages=0    parser=beautifulsoup:utf-8 warnings=['removed_html_tags:81', 'removed_boilerplate_nodes:1', 'very_short_text']
16:49:56 | DEBUG   | extracting doc_id=aia_eu_high_level_summary file=aia_eu_high_level_summary.html ext=html bytes=323403
16:49:56 | INFO    | [ok] aia_eu_high_level_summary                fmt=html  tokens=12      chars=65       pages=0    parser=beautifulsoup:utf-8 warnings=['removed_html_tags:80', 'removed_boilerplate_nodes:1', 'very_short_text']
16:49:56 | DEBUG   | extracting doc_id=aia_eu_small_business_guide file=aia_eu_small_business_guide.html ext=html bytes=315583
16:49:56 | INFO    | [ok] aia_eu_small_business_guide              fmt=html  tokens=13      chars=70       pages=0    parser=beautifulsoup:utf-8 warnings=['removed_html_tags:80', 'removed_boilerplate_nodes:1', 'very_short_text']
16:49:56 | INFO    | wrote documents: data\processed\documents.jsonl
16:49:56 | INFO    | wrote extraction log: data\processed\extraction_log.jsonl
16:49:56 | INFO    | wrote stats: data\processed\ingestion_stats.json
16:49:56 | INFO    | SUMMARY ok=31 failed=0 missing=0 total_tokens=873,394 by_format={'html': 13, 'pdf': 14, 'md': 4}
